X,Y,Z,formation
566395.2190656281,5255518.917927052,-4863.4853465079905,LMM
565997.7644371082,5254377.558317758,-5165.631000483247,LMM
565586.115000427,5253195.4358652760,-5316.703827470874,LMM
565259.6344127142,5252257.890471928,-5403.031157178089,LMM
564961.5434413244,5251401.870764958,-5403.031157178089,LMM
564727.3291066608,5250729.283852339,-5381.4493247512855,LMM
564280.192649576,5249445.2542918840,-5165.631000483247,LMM
564010.4912945089,5248670.760271291,-5100.885503202835,LMM
563747.8873435226,5247916.647672294,-5122.467335629639,LMM
563627.2314741506,5247570.163505187,-5338.285659897678,LMM
563435.6015639714,5247019.865122135,-5338.285659897678,LMM
563087.6415315456,5246020.637793627,-5316.703827470874,LMM
564267,5273663,-2996.36,LMM
564415,5273663,-2996.36,LMM
575057,5264638,-3969.65,LMM
575348,5264638,-3977.16,LMM
565634.0224779717,5253333.010461039,-293.53233013225054,RDF
565548.8536290032,5253088.433401905,-271.95049770544665,RDF
565414.0029514697,5252701.186391609,-412.2324084796728,RDF
565328.8341025012,5252456.609332474,-466.1869895466825,RDF
565218.8243392501,5252140.697297759,-520.1415706136922,RDF
565133.6554902815,5251896.120238624,-498.55973818688835,RDF
565030.7431311113,5251600.589625505,-304.3232463456525,RDF
564977.512600506,5251447.7289635455,-142.45950314462334,RDF
564934.9281760217,5251325.440433978,51.776988696612534,RDF
564881.6976454164,5251172.579772020,170.4770670440348,RDF
564807.1749025688,5250958.574845277,332.34081024506395,RDF
564704.2625433985,5250663.044232156,375.50447509867263,RDF
564565.8631638247,5250265.606511063,375.50447509867263,RDF
564406.1715720086,5249807.024525186,375.50447509867263,RDF
564250.028682233,5249358.6332501070,397.0863075254765,RDF
564083.2396863363,5248879.669842635,375.50447509867263,RDF
563895.1584781974,5248339.562170381,235.22256432444647,RDF
563770.953906785,5247982.8872924760,235.22256432444647,RDF
563742.5642904621,5247901.361606098,224.43164811104452,RDF
563685.7850578164,5247738.310233342,397.0863075254765,RDF
563664.4928455743,5247677.165968559,537.3682182997018,RDF
563618.3597190497,5247544.686728194,645.2773804337221,RDF
563561.580486404,5247381.6353554380,645.2773804337221,RDF
563469.3142333548,5247116.676874709,580.5318831533095,RDF
563348.6583639826,5246770.192707602,440.2499723790843,RDF
563252.843408893,5246495.0435160760,397.0863075254765,RDF
563146.3823476824,5246189.322192159,397.0863075254765,RDF
563384.1453843862,5246872.099815575,1066.1231127563992,RDF
563341.5609599019,5246749.811286008,1120.077693823409,RDF
563309.6226415387,5246658.094888832,1120.077693823409,RDF
563217.3563884895,5246393.136408104,947.4230344089774,RDF
563096.7005191173,5246046.652240996,828.7229560615556,RDF
566936.2762382181,5244443.783991080,253.33573887614693,RDF
567068.6663623188,5244186.680580791,231.91445559393014,RDF
