X,Y,Z,azimuth,dip,polarity,formation
572428.8873409558,5255896.457782757,-708.6404437274332,155.79684717168075,28.300755766006358,1.0,Fault_3
573130.3554874905,5254335.850053099,-1383.732689360886,155.79684717168075,15.668160421752518,1.0,Fault_3
574099.04959461,5252180.725093095,-1732.918333654051,155.79684717168075,3.3109415146114136,1.0,Fault_3
574840.9165936983,5250530.239067642,-1837.6740269419997,0.01,1.3478872801986022,1.0,Fault_3
566652.5164522371,5256706.5963320825,440.2499723790829,184.88323559876602,48.90049374238191,1.0,Fault_3
566607.046692576,5256174.384813887,19.404240056405854,184.88323559876602,28.12373538328877,1.0,Fault_3
566086.4819881171,5254632.32608769,-719.7735205616301,199.1996042421516,20.095231191904794,1.0,Fault_3
565841.6215473326,5253929.167042679,-967.9645934698754,199.1996042421516,15.945395900922849,1.0,Fault_3
565687.253008577,5253485.871122998,-1129.8283366709054,199.1996042421516,24.30454926593679,1.0,Fault_3
565027.1944290709,5251590.398914707,-1885.1924716090443,199.1996042421516,3.209486317791976,1.0,Fault_3
564444.3201189424,5249916.574666257,-1914.8674911958997,19.199604242151594,0.12933562572282536,1.0,Fault_3
563087.6415315456,5246020.637793627,-1966.124343209559,0.01,0.01,1.0,Fault_3
570601.2526462427,5259962.530983159,-68.4667625232978,155.79684717168075,51.95295746817399,1.0,Fault_4
570987.7759106599,5259102.60427498,-1034.5470450677212,155.79684717168075,39.4278021960362,1.0,Fault_4
572128.258135298,5256565.289666897,-2559.3243584812085,155.79684717168075,24.227745317954163,1.0,Fault_4
572867.9014190593,5254919.750904331,-3234.416604114661,155.79684717168075,16.34817154735126,1.0,Fault_4
573893.8582320182,5252637.229394967,-3630.160334313581,155.79684717168075,4.899092453787745,1.0,Fault_4
574840.9165936983,5250530.239067642,-3967.706457130307,0.01,3.366460663429808,1.0,Fault_4
569823.4342252553,5261693.00077863,269.07936029343,155.79684717168075,82.99873244250466,1.0,Fault_5
569914.1001761679,5261491.289575478,-766.8380511096266,155.79684717168075,69.44395478041662,1.0,Fault_5
570209.9574896723,5260833.074070452,-1930.7901987535097,155.79684717168075,30.256437163529274,1.0,Fault_5
570639.4277834692,5259877.599950253,-2361.4524933817465,155.79684717168075,19.212671817185637,1.0,Fault_5
